country;region;subregion;surfareasqkm;poptotal;popdens;popgrowthpct;gdp;gdpgrowthpct;adolfertrate;agrivaladdpctgdp;exportspctgdp;fertrate;fdinetbop;gni_per_capatlas;gniatlas;importspctgdp;indvaladdpctgdp;inflconspricpct;lifeexpbirth;merchtradepctgdp;mobilesubs_per_100;mortrateu5;netmigr;urbanpopgrowthpct;
Guatemala;Americas;Latin America and the Caribbean;108890.0;17109746.0;159.665.416.200.075;14.803.168.061.015;860.530.797.673.507;80.024.080.363.912;64.054;929.899.681.666.786;177.121.044.581.955;2.395;3597772700.0;4930.0;843.767.823.702.015;317.794.277.331.955;223.425.552.842.911;269.350.246.182.233;69.237;469.012.847.757.634;1.256.487.512;23.0;-29118.0;22.662.551.121.632;
Grenada;Americas;Latin America and the Caribbean;340.0;124610.0;366.5;0.762873605069601;1122800000.0;468.747.816.934.534;32.72;533.784.586.153.663;6.111.289.591.203.700;2.004;144.226.098.756.704;8500.0;105.891.561.786.944;799.304.635.773.455;145.479.555.080.553;279.031.777.299.367;74.936;429.283.933.024.581;8.106.733.007;16.2;-85.0;119.024.142.657.107;
Greenland;Americas;Northern America;410450.0;56653.0;0.138026556218784;0.506106194434674;323.581.619.506.609;129.021.048.770.599;36.319;174.863.226.814.917;354.361.749.713.673;1.8;42.854.115.035.536;602.371.440.476.158;24.349.446.451.199.900;497.161.311.253.005;160.613.255.078.918;-0.416168295320645;711.475.609.756.098;577.288.661.466.091;1.184.236.261;2.883.746.894.991.960;-62.0;0.763370214035138;
Hungary;Europe;Eastern Europe;93030.0;9709891.0;106.398.104.317.335;-0.413751024472153;182275444031.79;720.000.034.603.936;22.148;345.522.669.116.877;80.253.238.025.139;1.59;298.404.536.989.955;17780.0;172.631.726.864.541;799.464.393.622.818;243.033.597.061.486;643.988.905.301.609;744.658.536.585.366;156.217.970.836.674;1.069.277.943;4.0;19870.0;0.0065434189729684;
Curacao;Americas;Latin America and the Caribbean;444.0;152369.0;343.173.423.423.423;-16.777.912.474.095;269.961.245.810.056;423.240.462.897.157;23.142;0.194354401748085;6.056.165.944.804.020;138.390.804.597.701;145.700.400.659.218;18430.0;280.839.706.285.155;8.928.029.272.070.690;142.774.827.829.105;375.849.914.599.297;7.624.093.663.000.450;676.763.805.307.623;8.826.771.323;2.805.912.093.768.100;502.0;-170.504.559.966.404;
Cuba;Americas;Latin America and the Caribbean;109880.0;11256372.0;10.844.289.017.341;-0.393012541562472;3.951.931.678.053.860;125.409.286.362.381;48.82;0.881940963420313;348.936.269.333.784;1.442;21.550.188.013.228.600;3.597.073.239.855.180;4.050.765.595.779.930;451.302.762.253.404;233.474.359.517.543;401.588.278.054.162;73.683;2.926.910.613.834.430;6.310.466.641;5.0;-7068.0;-0.266142848880682;
Croatia;Europe;Southern Europe;88070.0;3879000.0;693.173.695.496.783;-425.664.890.192.098;688.436.746.412.112;130.722.049.215.981;8.637;290.697.222.073.578;512.780.061.281.066;1.62;466.018.437.376.559;17630.0;683.770.725.098.492;527.485.233.344.475;197.874.578.914.953;203.495.600.097.925;764.243.902.439.025;819.320.007.160.612;1.084.252.864;4.6;-10402.0;-369.351.191.644.176;
Benin;Africa;Sub-Saharan Africa;114760.0;12996895.0;115.261.573.252.927;275.970.517.933.377;176.900.835.199.322;71.554.516.457.574;92.259;285.289.506.098.592;209.188.061.754.733;4.973;34.598.523.568.003;1330.0;172.378.303.229.739;271.360.546.569.676;164.674.003.775.761;161.872.506.665.755;59.821;441.151.111.084.743;9.796.018.203;83.5;1732.0;390.360.091.217.683;
Belize;Americas;Latin America and the Caribbean;22970.0;400031.0;17.537.527.400.263;128.562.992.065.572;2491500000.0;152.211.055.276.382;57.127;768.908.087.497.491;464.780.252.859.723;2.01;125.495.493.195.586;6070.0;242.913.365.611.708;501.103.752.759.382;167.778.928.356.412;39.598.199.458.529;70.47;59.562.512.542.645;659.948.854;11.2;577.0;166.734.180.682.864;
Belgium;Europe;Western Europe;30530.0;11592952.0;382.858.388.375.165;0.469904402495701;594.351.961.634.487;628.593.139.332.018;5.33;0.662897538033726;868.267.422.004.768;1.6;240.368.123.297.259;50530.0;585.787.093.117.034;857.757.216.562.648;19.614.081.876.363;28.214.378.773.521;81.890.243.902.439;181.037.006.598.073;1.011.083.743;4.1;52356.0;0.508647378332019;
Belarus;Europe;Eastern Europe;207630.0;9302585.0;458.368.317.319.537;-0.82823272086807;69673747131.87;243.886.608.142.535;11.85;670.684.479.220.258;708.320.377.207.017;1.483;1230721861.86;7040.0;655.100.368.025.474;651.824.128.358.935;321.445.734.089.406;153.264.151.844.105;723.706.829.268.293;116.469.980.933.293;1.227.801.287;2.7;12961.0;-0.292441093106297;
Barbados;Americas;Latin America and the Caribbean;430.0;281200.0;653.953.488.372.093;0.180461453548187;4843800000.0;-0.189272866293138;42.297;148.230.727.940.873;303.749.122.589.702;1.633;238735064.3;16900.0;47.520.819.338.659;404.713.241.669.763;134.078.615.962.674;387.827.784.875.428;77.571;417.853.751.187.085;1.126.006.401;11.9;-28.0;0.3568683774869;
Bangladesh;Asia;Southern Asia;147570.0;169356251.0;130.103.903.357.148;114.931.847.631.384;416.264.802.185.166;693.867.912.442.445;75.496;116.328.584.271.282;106.627.789.004.134;1.981;172.385.646.412.346;2570.0;435530732421.77;170.612.258.032.497;333.160.943.869.001;41.211.747.067.957;72.381;299.499.259.475.085;1.089.094.426;27.3;-174500.0;31.436.030.611.842;
Bahrain;Asia;Western Asia;790.0;1463265.0;185.223.417.721.519;-0.966024840061971;393.034.039.893.617;266.970.871.448.231;8.676;0.279099857891552;89.647.640.895.486;1.811;17.791.755.319.149;24730.0;361.804.039.337.653;701.654.076.183.469;44.951.392.501.268;105.702.000.891.146;78.76;930.122.999.267.313;1.314.487.123;6.9;-9150.0;-0.836505335284737;
Bahamas; The;Americas;Latin America and the Caribbean;13880.0;407906.0;407.498.501.498.501;0.352416997336031;11527600000.0;169.846.652.843.355;25.686;0.477115791665221;287.848.294.527.916;1.389;383.064.779.121.094;27300.0;11.134.862.318.962;38.973.420.312.988;102.042.055.588.327;101.840.248.455.829;71.598;338.578.715.430.792;9.742.269.052;13.2;485.0;0.496450111492329
Azerbaijan;Asia;Western Asia;86600.0;10137750.0;122.658.802.177.858;0.441197735816311;548.254.117.647.059;561.645.102.853.028;40.079;572.598.365.721.349;464.887.471.674.792;1.52;-1707666000.0;4910.0;497.378.953.897.897;297.981.185.195.358;488.181.736.249.399;215.888.241.949.245;69.366;618.527.046.281.673;1.048.878.056;18.6;1084.0;111.098.025.254.736;
Bermuda;Americas;Northern America;4290.0;63764.0;118.081.481.481.481;-0.202104144558527;7127200000.0;301.381.643.857.819;7.542;0.297045122909417;500.420.922.662.476;1.3;49.675.691.875;120020.0;765.325.912.997.349;240.473.117.072.623;541.185.879.447.749;0.457904804739712;79.28;152.093.388.708.048;1.059.437.563;27.726.144.616.174.000;291.0;-0.202104144558527;
