country;region;subregion;surfareasqkm;poptotal;popdens;popgrowthpct;gdp;gdpgrowthpct;adolfertrate;agrivaladdpctgdp;exportspctgdp;fertrate;fdinetbop;gni_per_capatlas;gniatlas;importspctgdp;indvaladdpctgdp;inflconspricpct;lifeexpbirth;merchtradepctgdp;mobilesubs_per_100;mortrateu5;netmigr;urbanpopgrowthpct;
Togo;Africa;Sub-Saharan Africa;56790.0;8644829.0;158.941.514.984.372;236.733.896.209.991;833.404.748.551.396;599.157.204.662.151;77.88;185.420.920.785.809;232.395.105.477.121;4.257;-1.362.214.993.787;940.0;816.550.979.734.497;319.735.844.596.739;203.132.816.029.747;251.678.082.185.313;61.619;459.320.637.019.856;7.235.295.227;62.6;-995.0;366.265.953.118.944;
Philippines;Asia;South-eastern Asia;300000.0;113880328.0;381.930.871.650.401;149.455.716.704.944;394.087.362.017.318;57.147.331.320.319;48.202;100.691.660.297.063;257.520.337.831.556;2.748;119.833.633.274.772;3550.0;404.198.054.491.322;377.325.767.054.589;288.898.066.776.384;228.247.846.231.801;69.266;504.926.113.289.712;1.434.358.742;25.7;-80125.0;207.505.070.686.737;
Peru;Americas;Latin America and the Caribbean;1285220.0;33715471.0;2.634.021.171.875;122.566.025.209.601;223.717.791.482.577;134.175.302.909.947;56.756;721.846.134.707.291;294.932.091.150.252;2.192;74.198.583.601.938;6420.0;216.353.232.245.257;264.763.306.759.554;348.058.916.153.794;845.148.567.883.973;72.377;494.100.175.347.961;1.278.361.756;14.1;68012.0;1.484.594.176.973;
Paraguay;Americas;Latin America and the Caribbean;406752.0;6703799.0;168.733.929.020.891;127.761.600.231.743;39.950.899.733.227;401.673.731.778.618;70.347;116.183.103.301.846;354.870.925.101.426;2.469;207.095.460.349.754;5740.0;384.555.000.039.398;342.551.805.109.774;343.402.801.772.358;844.812.602.665.775;70.262;603.415.696.792.187;1.189.635.011;18.2;-8230.0;177.970.381.658.121;
Mauritania;Africa;Sub-Saharan Africa;1030700.0;4614974.0;447.751.431.066.266;255.391.077.109.444;999.624.041.870.784;244.536.827.261.913;78.013;185.787.114.189.378;394.524.535.539.106;4.398;107.025.254.501.958;1950.0;90.208.836.920.194;609.405.678.723.871;328.972.754.757.299;125.719.779.262.064;64.364;712.968.046.132.815;1.411.137.094;40.5;-1494.0;400.016.634.682.876;
Marshall Islands;Oceania;Micronesia;180.0;42050.0;233.611.111.111.111;-318.995.490.050.083;259538700.0;111.479.505.810.898;58.035;252.991.943.012.738;465.700.490.909.448;2.729;499.428.443.349.172;6780.0;285.076.016.804.209;69.633.931.278.842;102.819.733.627.394;618.679.709.839.572;65.269;658.861.279.647.313;3.804.994.055;29.7;-1901.0;-271.925.518.200.787;
Malta;Europe;Southern Europe;320.0;518536.0;1.620.425;0.619810315667809;177.433.761.993.523;118.059.030.682.449;11.484;0.884278943216634;169.696.979.612.376;1.14;476.105.935.407.821;31160.0;161.591.035.212.966;153.342.091.380.004;124.916.206.761.861;185.862.153.327.261;828.609.756.097.561;574.693.332.623.597;1.233.832.876;5.8;10408.0;0.6894819480313;
Mali;Africa;Sub-Saharan Africa;1240190.0;21904983.0;17.952.108.278.219;315.796.436.945.004;193.094.635.059.833;305.261.356.942.125;150.062;356.818.261.246.549;27.867.145.924.821;5.956;639.944.165.358.959;820.0;179.758.262.468.451;393.427.987.474.347;205.544.977.714.968;335.897.399.475.127;58.941;562.314.949.694.771;1.110.929.919;97.1;-22236.0;489.191.053.403.395;
Maldives;Asia;Southern Asia;300.0;521457.0;1738.19;135.517.739.152.214;540.555.716.173.799;417.451.005.464.201;7.291;526.583.359.406.965;752.978.411.032.757;1.692;642.830.713.618.008;9590.0;500.212.351.095.424;67.787.431.707.141;894.429.396.616.044;173.827.666.484.479;79.918;528.715.156.363.475;1.353.978.652;6.0;1189.0;241.402.267.962.539;
Malaysia;Asia;South-eastern Asia;330411.0;33573874.0;102.188.020.088.267;111.985.399.101;372.981.073.017.749;309.216.261.593.808;9.271;958.817.940.837.716;688.389.246.323.815;1.803;202.451.573.268.024;10710.0;359.709.359.438.813;617.309.258.742.006;377.586.857.453.178;571.361.783.200.688;74.884;14.415.342.731.732;1.405.905.675;7.6;46165.0;181.211.067.246.512;
Malawi;Africa;Sub-Saharan Africa;118480.0;19889742.0;210.964.594.823.929;261.141.776.637.435;126.023.341.237.637;275.140.260.887.528;117.865;22.774.129.872.094;4.534.129.492.802.390;3.917;464.130.114.653.488;610.0;122.055.213.837.273;6.361.339.092.561.180;18.414.993.076.156;938.281.648.048.674;62.904;32.390.825.063.928;6.003.162.334;41.9;-1775.0;413.757.317.990.985;
Madagascar;Africa;Sub-Saharan Africa;587295.0;28915653.0;497.003.317.291.165;241.686.937.370.051;145.547.541.152.112;57.396.157.375.873;119.429;23.188.223.765.718;22.774.289.882.467;3.851;357.536.665.264.704;490.0;141.979.323.763.503;316.827.517.093.535;217.258.641.754.747;664.074.341.562.517;64.485;490.149.125.401.181;5.630.041.625;66.0;-742.0;414.829.941.294.465;
Macao SAR; China;Asia;Eastern Asia;33.0;686607.0;208.062.727.272.727;151.504.486.448.614;301.237.953.368.931;19.267.056.376.875;2.684;0.512609990189209;879.199.028.019.091;1.088;48.524.404.886.034;44980.0;30880939360.13;759.816.219.309.413;790.149.155.944.053;-0.589889029960261;85.399;691.778.700.756.146;1.856.588.995;3.826.329.181.453.540;4004.0;151.504.486.448.614
Mauritius;Africa;Sub-Saharan Africa;2007.0;1266334.0;634.118.177.265.899;0.0252729878913446;114.764.336.037.814;339.938.010.037.085;24.564;327.999.046.976.135;44.239.535.024.672;1.41;2.531.892.527.542;9890.0;125.205.455.895.562;539.954.898.563.567;182.516.609.993.793;315.439.459.395.344;73.680.243.902.439;618.223.417.217.546;151.765.127;16.6;-478.0;0.0621867074163359;
Luxembourg;Europe;Western Europe;2590.0;640064.0;24.862.068.161.867;151.834.936.706.612;855.062.438.337.816;510.245.544.656.804;4.304;0.195017560543721;211.433.432.185.682;1.38;251.225.910.532.777;88190.0;564.490.789.230.344;17.668.700.121.397;112.070.985.019.883;618.129.245.488.691;827.487.804.878.049;502.536.400.540.887;1.370.751.156;2.7;6949.0;175.746.552.951.904;
Liechtenstein;Europe;Western Europe;160.0;39039.0;24.399.375;0.727556393997221;718.642.878.311.896;-7.777.110.568.957.200;3.019;1.233.336.371.845.200;8.357.008.290.700.900;1.53;6.372.100.076.289.160;1.823.520.330.388.310;6.121.992.392.608.610;6.867.321.610.409.880;1.560.535.563.875.270;-4.178.292.890.630.310;844.024.390.243.902;5.646.374.057.850.300;1.260.867.338;2.860.462.883.474.320;231.0;110.360.678.661.133;
Libya;Africa;Northern Africa;1759540.0;6735277.0;382.786.239.585.346;121.494.764.533.037;397.984.239.410.335;313.725.154.401.954;6.93;16.993.727.963.399;4.810.594.891.704.770;2.462;6.268.688.919.331.490;7880.0;530.628.510.861.611;6.850.470.513.291.510;799.608.749.867.255;110.399.044.196.308;71.911;127.766.366.013.236;2.067.027.087;10.8;-696.0;158.975.261.469.859;
Liberia;Africa;Sub-Saharan Africa;111370.0;5193416.0;539.183.554.817.276;205.886.078.022.756;3509000000.0;498.671.283.481.617;123.38;369.620.974.636.649;61.802.600.086.614.000;4.089;45680000.0;630.0;324.891.564.708.781;898.034.011.024.548;18.238.814.477.059;99.456.235.311.022;60.747;63.237.389.569.678;3.182.876.165;76.0;-11862.0;298.375.028.508.875;
Lesotho;Africa;Sub-Saharan Africa;30360.0;2281454.0;751.467.061.923.584;12.062.178.802.275;237.341.626.851.107;155.767.983.330.564;89.568;422.383.022.024.207;45.548.031.873.561;3.018;-123.721.924.621.817;1240.0;281.867.784.711.029;935.212.721.063.081;28.474.730.950.521;-0.912565589215987;53.062;116.245.937.832.508;7.983.391.293;72.9;-1490.0;275.141.273.440.041;
Lebanon;Asia;Western Asia;10450.0;5592631.0;546.689.247.311.828;-124.903.516.691.702;231.319.415.567.843;-700.123.862.514.116;20.306;140.016.561.487.545;260.256.276.926.034;2.091;597.150.389.735.559;4970.0;277.790.758.970.678;528.029.927.097.736;27.586.320.737.767;150.000.716.803.737;75.047;797.468.727.591.078;7.667.627.276;8.2;-115122.0;-106.027.935.521.454;
Latvia;Europe;Northern Europe;64590.0;1884490.0;302.826.610.959.344;-0.843294678005026;397.253.836.012.125;406.401.610.355.167;11.216;423.385.085.301.921;636.751.699.192.133;1.57;37.210.781.497.836;19830.0;373.756.336.447.324;67.111.291.349.698;199.485.976.646.307;654.200.176.832.967;732.829.268.292.683;11.398.001.956.265;115.358.508;3.7;-6815.0;-0.688264282628012;
Kyrgyz Republic;Asia;Central Asia;199950.0;6691800.0;348.894.681.960.375;168.633.485.930.567;874.068.188.920.633;61.676.384.275.106;34.697;137.821.776.557.358;377.571.120.484.281;2.89;226205400.0;1220.0;817.493.824.679.875;679.529.776.560.062;256.977.218.060.916;15.788.705.123.819;71.9;953.243.706.339.319;1.303.819.712;17.4;-16510.0;247.009.803.683.757;
Kuwait;Asia;Western Asia;17820.0;4250114.0;238.502.469.135.802;-25.628.080.932.518;136.797.422.273.868;130.805.650.896.015;5.638;0.512365433209315;7.649.720.658.665.930;2.11;-272.335.307.098.366;33780.0;143.587.238.546.451;7.459.166.952.689.300;15.733.566.769.277.500;25.539.177.784.128;78.673;694.581.801.474.124;1.627.763.396;8.7;-36843.0;-256.280.809.325.179;
Korea; Rep.;Asia;Eastern Asia;100430.0;51744876.0;530.172.909.836.066;-0.176408650734229;1810955871380.98;414.532.395.430.925;2.211;178.964.867.753.268;420.354.952.410.099;0.808;22060400000.0;35110.0;1816733062905.89;384.568.447.108.548;324.459.249.547.947;249.767.572.110.819;835.268.292.682.927;695.485.196.466.743;1.405.658.819;2.9;43440.0;-0.176410375279992
Lithuania;Europe;Northern Europe;65290.0;2800839.0;447.346.909.439.387;0.212805429536827;664.149.949.917.935;598.084.808.454.942;10.377;331.529.177.109.547;805.288.697.199.207;1.34;297.161.890.503.105;21750.0;609.310.549.778.862;760.074.765.790.599;253.153.530.673.757;633.215.419.001.188;743.390.243.902.439;128.275.248.700.278;1.337.323.188;3.3;-11853.0;0.510732875843169;
Mexico;Americas;Latin America and the Caribbean;1964375.0;126705138.0;651.792.165.436.354;0.559420832085433;1272838810896.09;472.056.529.768.081;54.369;388.920.120.260.251;411.018.689.587.122;1.822;33477494833.0;9590.0;1214989810443.55;428.400.346.490.762;308.344.029.886.314;516.409.565.543.347;70.213;799.174.248.374.675;9.981.384.101;13.2;-52649.0;0.911823977262318;
Micronesia; Fed. Sts.;Oceania;Micronesia;700.0;113131.0;161.615.714.285.714;0.910158700223977;404028900.0;-318.818.719.740.072;35.835;22.275.634.242.996;238.349.286.400.057;2.711;2.931.957.867.952.740;3980.0;450.746.891.801.937;696.732.337.711.485;502.288.326.404.374;22.878.183.041.438;70.71;660.843.815.875.548;194.464.824;24.9;-635.0;149.792.400.436.107
Moldova;Europe;Eastern Europe;33850.0;2615199.0;907.834.554.101.434;-0.759232259187156;136.922.301.470.588;139.299.997.889.786;27.795;105.865.870.134.286;306.487.877.126.898;1.806;391310000.0;5230.0;136.752.366.837.836;578.220.988.272.368;206.312.606.801.817;638.172.855.134.019;68.846;753.785.167.876.178;1.273.941.322;14.2;-14278.0;-0.412139329656397;
Papua New Guinea;Oceania;Melanesia;462840.0;9949437.0;219.702.270.017.224;202.856.054.038.959;26311656000.0;0.0999999999999943;55.25;0.7939794155488645;4.569.924.076.389.470;3.215;-10712491.65;2450.0;243.946.812.769.467;4.982.718.173.295.290;218.487.025.647.412;11.772.854.183.325;65.351;617.825.043.015.156;4.842.485.057;42.8;10695.0;285.690.964.935.438;
Panama;Americas;Latin America and the Caribbean;75320.0;4351267.0;586.582.232.407.657;13.156.150.150.044;674.067.380.517.437;158.357.649.568.554;69.912;265.507.344.210.965;6.180.234.889.318.760;2.325;1760842026.67;14660.0;637.910.199.127.472;8.980.327.392.909.220;262.185.358.351.308;193.531.278.894.929;76.223;500.795.632.242.091;1.477.006.123;13.9;5473.0;184.190.423.022.041;
Palau;Oceania;Micronesia;460.0;18024.0;391.826.086.956.522;0.288921192202971;217800000.0;-133.333.333.333.333;42.52;385.674.931.129.477;8.603.977.520.736.930;2.712.536.358.182.030;32549000.0;12790.0;23.043.825.868.943;6.798.461.386.952.910;120.752.984.389.348;-0.235136042996302;7.052.240.606.663.590;725.436.179.981.635;1.331.557.923;16.2;3.0;0.896008183183221;
Pakistan;Asia;Southern Asia;796100.0;231402117.0;300.179.167.963.885;183.406.208.240.793;348.262.544.719.247;648.708.677.384.843;42.269;226.737.525.408.628;905.820.476.789.219;3.47;2147000000.0;1470.0;340.808.706.178.881;179.919.389.578.177;187.961.881.882.442;102.146.766.468.593;66.098;289.459.781.215.538;8.155.130.785;63.3;-471395.0;257.128.163.621.201;
Oman;Asia;Western Asia;309500.0;4520471.0;146.057.221.324.717;-0.5059218392323;88.191.977.373.212;309.227.668.737.446;9.944;212.077.976.136.897;525.266.019.364.016;2.623;401.950.585.175.553;17950.0;811.646.322.757.876;413.895.442.243.827;506.336.806.853.678;126.957.152.190.563;72.541;857.062.084.912.034;1.350.769.728;10.1;-20664.0;0.380309630186094;
Norway;Europe;Northern Europe;624500.0;5408320.0;148.470.090.866.665;0.534772281874925;490.293.364.377.183;389.839.906.700.269;2.336;165.081.370.114.113;417.373.837.145.801;1.55;14179043237.68;83190.0;449.916.865.295.357;288.083.445.325.077;363.435.447.642.475;171.026.108.623.609;831.634.146.341.463;525.950.418.128.891;1.096.884.687;2.2;10604.0;0.954484087915797;
North Macedonia;Europe;Southern Europe;25710.0;2065092.0;818.831.086.439.334;-0.359578821721077;138.250.498.317.959;55.060.164.611.849;16.367;72.493.277.727.496;662.147.644.463.379;1.6;696.255.528.136.466;6250.0;12.906.230.522.423;822.542.025.692.036;223.548.655.980.999;202.268.666.588.172;745.368.292.682.927;141.569.109.971.574;9.229.897.353;5.3;-486.0;0.158859542493988;
Nigeria;Africa;Sub-Saharan Africa;923770.0;213401323.0;234.308.687.154.825;240.636.338.101.405;440.833.583.992.485;364.718.654.100.696;101.675;233.570.587.623.058;107.384.551.021.085;5.237;3313210000.0;2120.0;452086494235.9;118.380.835.104.731;31.407.534.040.012;101.310.336.860.574;52.676;224.009.702.495.088;9.143.723.303;110.8;-76364.0;391.158.763.372.462;
Niger;Africa;Sub-Saharan Africa;1267000.0;25252722.0;199.358.348.464.514;370.742.378.461.307;149.150.020.984.975;138.712.917.730.062;170.462;364.810.266.239.127;102.839.101.185.764;6.82;594.829.131.824.509;590.0;148.250.705.445.434;272.271.944.555.593;208.342.820.212.065;311.864.066.290.167;61.576;319.745.177.942.711;5.638.600.069;115.2;-4405.0;445.643.069.921.083;
Nicaragua;Americas;Latin America and the Caribbean;130370.0;6850540.0;569.265.414.658.468;139.120.241.997.296;141.458.521.007.591;103.468.976.209.071;85.648;155.293.010.990.425;46.611.419.750.605;2.321;1220100000.0;1970.0;134.822.160.261.037;600.700.669.716.436;270.790.956.818.164;35.548.563.416.623;73.837;117.780.108.835.621;9.710.898.703;13.3;-10384.0;183.926.222.503.864;
New Zealand;Oceania;Australia and New Zealand;267710.0;5111400.0;19.412.099.806.312;0.415621677337565;255.551.704.625.831;516.784.735.916.997;12.63;0.5126429751472261;221.517.358.199.165;1.64;453.991.392.462.292;45770.0;233930470812.97;26.048.785.078.287;15.732.493.203.032.900;480.486.674.681.298;822.073.170.731.707;370.304.710.502.935;1.139.631.575;4.7;38220.0;0.519387762106515;
New Caledonia;Oceania;Melanesia;18580.0;274660.0;150.251.641.137.856;0.804215476422117;100.713.497.071.581;-209.999.999.999.997;21.829;0.5117289637887497;6.173.913.570.788.340;2.02;793.713.550.772;22.713.711.541.896.900;9.974.482.321.307.200;897.639.967.612.519;15.731.351.608.753.500;482.764.313.203.535;791.273.414.634.146;458.230.538.526.524;9.034.051.425;3.830.000.638.773.970;-1182.0;137.155.666.695.711;
Netherlands;Europe;Western Europe;41540.0;17533044.0;520.731.927.531.928;0.523490508168757;1011798853062.0;486.321.914.933.848;2.804;154.850.549.990.064;830.659.169.813.085;1.62;-131.479.968.064.796;55180.0;967487947318.24;727.954.223.993.828;178.811.647.398.506;241.874.760.071.983;814.609.756.097.561;157.878.415.770.661;1.250.621.654;4.1;57439.0;0.887108129015578;
Nepal;Asia;Southern Asia;147180.0;30034989.0;20.952.207.185.211;231.172.371.212.952;369.248.414.300.574;483.814.961.326.168;63.837;220.214.522.788.292;51.191.714.849.334;2.029;19.632.602.403.483;1230.0;369.388.123.524.864;379.346.333.070.251;117.920.425.516.923;676.271.216.368.889;68.45;476.021.001.560.539;1.272.282.803;27.2;296541.0;43.895.210.502.418;
Nauru;Oceania;Micronesia;20.0;12511.0;625.55;157.902.257.627.617;145.536.603.234.791;32.520.325.203.252;72.479;1.374.486.949.810.340;369.230.769.230.769;3.519;4.873.991.939.323.120;18010.0;225.354.113.419.204;964.102.564.102.564;15.155.012.917.085.400;153.670.307.340.614;63.617;762.694.727.874.925;7.992.327.366;27.6;-66.0;157.902.257.627.617;
Namibia;Africa;Sub-Saharan Africa;824290.0;2530151.0;307.321.964.313.911;163.585.889.002.733;124.462.908.548.973;352.465.798.278.794;64.944;94.903.702.791.612;318.575.849.420.751;3.303;690.706.671.678.591;4680.0;118.316.808.728.651;501.460.184.809.219;24.904.264.496.188;197.086.546.428.744;59.269;146.678.237.017.229;1.152.226.488;39.0;-4301.0;348.673.295.359.635;
Myanmar;Asia;South-eastern Asia;676590.0;53798084.0;824.276.954.663.153;0.699278204168444;651.247.696.017.482;-179.129.448.042.714;33.043;234.388.644.754.277;337.371.576.628.156;2.151;2066606470.4;1170.0;627.076.000.398.832;321.011.769.240.322;350.461.842.160.451;480.255.500.360.398;65.672;452.684.902.845.455;1.262.686.102;41.8;-35382.0;168.028.696.218.233;
Mozambique;Africa;Sub-Saharan Africa;799380.0;32077072.0;40.790.803.428.368;284.211.234.895.462;157.767.574.195.197;232.752.362.485.029;165.778;274.953.795.842.157;313.840.804.090.094;4.644;529.539.610.525.416;480.0;153.859.190.839.167;688.331.356.062.038;219.041.945.173.205;263.638.045.065.169;59.325;900.121.591.679.533;4.266.671.846;69.6;-9515.0;43.253.719.388.489;
Morocco;Africa;Northern Africa;446550.0;37076584.0;830.754.738.964.822;105.148.431.222.073;142.866.583.124.696;792.966.793.394.747;25.936;12.035.861.742.439;329.316.421.550.686;2.328;22.641.486.254.107;3620.0;136.408.068.700.813;420.200.380.951.194;260.809.840.564.294;324.424.627.836.875;74.042;657.095.577.893.555;1.374.592.738;18.0;-46242.0;188.693.234.929.498;
Montenegro;Europe;Southern Europe;13810.0;619211.0;460.379.925.650.558;-0.337762721786185;586.143.052.558.447;130.434.642.521.552;10.361;646.148.344.458.535;428.343.554.419.311;1.75;69.374.079.571.383;9370.0;580.049.325.673.691;621.956.378.014.157;148.354.952.739.754;472.624.761.430.708;738.243.902.439.024;592.176.258.824.443;1.783.957.863;2.3;-101.0;0.161802886032932;
Mongolia;Asia;Eastern Asia;1564116.0;3347782.0;214.944.908.754.824;160.937.103.615.911;15.286.441.740.129;163.676.957.584.143;26.708;131.631.741.927.742;585.488.639.540.916;2.837;217.338.530.977.256;3730.0;124.745.221.780.005;605.492.144.836.795;370.755.721.187.771;144.200.654.836.845;70.975;105.237.047.793.597;140.012.223;14.7;0.0;179.561.951.920.373;
Kenya;Africa;Sub-Saharan Africa;580370.0;53005614.0;931.328.214.499.069;194.276.128.252.757;109.703.659.312.872;759.048.947.333.467;64.185;214.770.750.957.252;107.741.812.165.989;3.335;463.348.935.675.033;2080.0;110.027.311.795.697;199.151.007.070.202;171.524.357.767.952;43.307.475.585.662;61.427;239.718.530.491.301;1.227.902.388;37.2;-52549.0;370.601.674.052.537;
Zimbabwe;Africa;Sub-Saharan Africa;390760.0;15993524.0;413.429.598.035.414;20.457.148.779.533;283.712.386.655.116;846.801.689.759.531;94.312;884.989.924.799.123;254.114.462.222.573;3.491;250000000.0;1530.0;24.393.250.796.533;309.012.338.359.069;288.055.863.034.811;113.294.980.646.573;59.253;478.266.041.182.566;8.914.601.935;49.5;-25005.0;223.472.352.659.423;
